"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"53","1741934112","525.5","525","2025-03-14 14:20:10","3.4482758","525","1741933210","0700.HK","M5"
"54","1741934112","85.9","85.85","2025-03-14 14:20:07","0.23350489","85.85","1741933207","0005.HK","M5"
"55","1741934410","354","353.8","2025-03-14 14:25:08","2.8471782","354","1741933508","0388.HK","M5"
"56","1741934410","526","525.5","2025-03-14 14:25:08","3.6453202","526","1741933508","0700.HK","M5"
"57","1741934410","85.85","85.8","2025-03-14 14:25:08","0.17513312","85.8","1741933508","0005.HK","M5"
"58","1741934715","354","353.8","2025-03-14 14:30:06","2.789069","353.8","1741933806","0388.HK","M5"
"59","1741934715","526.5","526","2025-03-14 14:30:14","3.7438424","526.5","1741933814","0700.HK","M5"
"60","1741934715","85.8","85.75","2025-03-14 14:30:02","0.116752446","85.75","1741933802","0005.HK","M5"
"61","1741935010","354.2","354","2025-03-14 14:35:04","2.8471782","354","1741934104","0388.HK","M5"
"62","1741935010","527.5","527","2025-03-14 14:35:07","3.9408867","527.5","1741934107","0700.HK","M5"
"63","1741935010","85.8","85.75","2025-03-14 14:35:01","0.116752446","85.75","1741934101","0005.HK","M5"
"64","1741935310","353.8","353.6","2025-03-14 14:40:07","2.6147587","353.2","1741934407","0388.HK","M5"
"65","1741935310","527.5","527","2025-03-14 14:40:07","3.8423645","527","1741934407","0700.HK","M5"
"66","1741935310","85.8","85.75","2025-03-14 14:40:00","0.17513312","85.8","1741934400","0005.HK","M5"
"67","1741935625","353.6","353.4","2025-03-14 14:45:13","2.6728592","353.4","1741934713","0388.HK","M5"
"68","1741935625","527","526.5","2025-03-14 14:45:24","3.8423645","527","1741934724","0700.HK","M5"
"69","1741935625","85.75","85.7","2025-03-14 14:45:02","0.05837177","85.7","1741934702","0005.HK","M5"
"70","1741935910","353.8","353.6","2025-03-14 14:50:06","2.789069","353.8","1741935006","0388.HK","M5"
"71","1741935910","527","526.5","2025-03-14 14:50:01","3.8423645","527","1741935001","0700.HK","M5"
"72","1741935910","85.75","85.7","2025-03-14 14:50:00","0.116752446","85.75","1741935000","0005.HK","M5"
"73","1741936210","354.8","354.6","2025-03-14 14:55:07","3.0214972","354.6","1741935307","0388.HK","M5"
"74","1741936210","528","527.5","2025-03-14 14:55:05","4.0394087","528","1741935305","0700.HK","M5"
"75","1741936210","85.8","85.75","2025-03-14 14:55:00","0.17513312","85.8","1741935300","0005.HK","M5"
"76","1741936515","355.2","355","2025-03-14 15:00:13","3.137707","355","1741935613","0388.HK","M5"
"77","1741936515","528.5","528","2025-03-14 15:00:12","3.9408867","527.5","1741935612","0700.HK","M5"
"78","1741936515","85.85","85.8","2025-03-14 15:00:12","0.17513312","85.8","1741935612","0005.HK","M5"
"79","1741936810","354.4","354.2","2025-03-14 15:05:01","2.963388","354.4","1741935901","0388.HK","M5"
"80","1741936810","527.5","527","2025-03-14 15:05:07","3.9408867","527.5","1741935907","0700.HK","M5"
"81","1741936810","85.8","85.75","2025-03-14 15:05:05","0.17513312","85.8","1741935905","0005.HK","M5"
"82","1741937110","355.2","355","2025-03-14 15:10:09","3.0214972","354.6","1741936209","0388.HK","M5"
"83","1741937110","527","526.5","2025-03-14 15:10:08","3.8423645","527","1741936208","0700.HK","M5"
"84","1741937110","85.8","85.75","2025-03-14 15:10:01","0.05837177","85.7","1741936201","0005.HK","M5"
